title,main_category_manual,title_norm
"21 Cách Học Tiếng Anh Du Kích (song ngữ)","Giáo dục - Giáo trình","21 cach hoc tieng anh du kich song ngu"
"21 Phẩm Chất Vàng Của Nhà Lãnh Đạo","Kỹ năng sống - Phát triển bản thân","21 pham chat vang cua nha lanh dao"
"22 năm đào tạo sau đại học","Giáo dục - Giáo trình","22 nam dao tao sau dai hoc"
"23 Vấn Đề Họ Không Nói Với Bạn Về Chủ Nghĩa Tư Bản","Kinh doanh - Kinh tế","23 van de ho khong noi voi ban ve chu nghia tu ban"
"25 năm nhà xuất bản Thuận Hóa, 1981-2006","Văn học - Thơ - Tản văn","25 nam nha xuat ban thuan hoa 1981 2006"
"25 phuong phap de tu tin","Kỹ năng sống - Phát triển bản thân","25 phuong phap de tu tin"
"25 phương pháp để tự tin","Kỹ năng sống - Phát triển bản thân","25 phuong phap de tu tin"
"25 thói quen tốt để thành công","Kỹ năng sống - Phát triển bản thân","25 thoi quen tot de thanh cong"
"25 Độ Âm","Văn học - Tiểu thuyết","25 do am"
"27 Thách Thức Của Nhà Quản Lý","Kinh doanh - Kinh tế","27 thach thuc cua nha quan ly"
"27 bài học về tinh thần lạc quan","Kỹ năng sống - Phát triển bản thân","27 bai hoc ve tinh than lac quan"
"27000 Vietnamese Words Dictionary With Definitions","Giáo dục - Giáo trình","27000 vietnamese words dictionary with definitions"
"30 Ngày Làm Bạn Cảm Xúc: đã đến lúc bạn cần chăm sóc cho cảm xúc của mình","Tâm lý học","30 ngay lam ban cam xuc da den luc ban can cham soc cho cam xuc cua minh"
"30 Tuổi Chưa Giàu Thì Cũng Đừng Nghèo","Kinh doanh - Kinh tế","30 tuoi chua giau thi cung dung ngheo"
"30 Tuổi – Mọi Thứ Chỉ Mới Bắt Đầu","Kỹ năng sống - Phát triển bản thân","30 tuoi moi thu chi moi bat dau"
"30 chủ đề từ vựng tiếng Anh","Giáo dục - Giáo trình","30 chu de tu vung tieng anh"
"30 năm nhà xuá̂t bản Văn hóa dân tộc, từ Mỏ Bạch đến Hà Nội, 20/7/1976-20/7/2006","Khoa học xã hội","30 nam nha xuat ban van hoa dan toc tu mo bach den ha noi 20 7 1976 20 7 2006"
"300 năm Sài Gòn - Thành phố Hồ Chí Minh","Lịch sử","300 nam sai gon thanh pho ho chi minh"
"31 ngày bán hàng thực chiến","Kinh doanh - Kinh tế","31 ngay ban hang thuc chien"
"325.000Frăng","Văn học - Tiểu thuyết","325 000frang"
"35 năm khoa học xã hội Việt Nam (1955-1990).","Khoa học xã hội","35 nam khoa hoc xa hoi viet nam 1955 1990"
"35 năm Đài truyè̂n hình Việt Nam, 7/9/1970--7/9/2005","Lịch sử","35 nam dai truyen hinh viet nam 7 9 1970 7 9 2005"
"365 bài học tâm lý","Tâm lý học","365 bai hoc tam ly"
"38 Lá-Bức Thư Rockefeller Gửi Cho Con Trai","Kinh doanh - Kinh tế","38 la buc thu rockefeller gui cho con trai"
"40+ Bí Kíp Chinh Phục Khách Hàng Qua Điện Thoại","Kinh doanh - Kinh tế","40 bi kip chinh phuc khach hang qua dien thoai"
"400 sơ đồ kế toán tài chính","Kinh doanh - Kinh tế","400 so do ke toan tai chinh"
"44 Năm Văn Học Việt Nam Hải Ngoại (1975-2019) - Tập 2","Văn học - Thơ - Tản văn","44 nam van hoc viet nam hai ngoai 1975 2019 tap 2"
"44 Năm Văn Học Việt Nam Hải Ngoại (1975-2019) - Tập 7","Văn học - Thơ - Tản văn","44 nam van hoc viet nam hai ngoai 1975 2019 tap 7"
"45 Người Lính – Alexandre Dumas","Văn học - Tiểu thuyết","45 nguoi linh alexandre dumas"
"45 năm Trường Đại học văn hóa Hà Nội","Khoa học xã hội","45 nam truong dai hoc van hoa ha noi"
"45 năm kinh tế Việt Nam, 1945-1990","Kinh doanh - Kinh tế","45 nam kinh te viet nam 1945 1990"
"4MK","Trinh thám - Pháp y","4mk"
"4MK Thriller 1 – J. D. Barker","Trinh thám - Pháp y","4mk thriller 1 j d barker"
"4MK Thriller 2: Cái Chết Thứ Năm","Trinh thám - Pháp y","4mk thriller 2 cai chet thu nam"
"4MK Thriller 3: Đứa Trẻ Thứ Sáu","Trinh thám - Pháp y","4mk thriller 3 dua tre thu sau"
"5 Ngôn Ngữ Tình Yêu: Dành Cho Những Người Chỉ Có Một Mình","Ngôn tình - Lãng mạn","5 ngon ngu tinh yeu danh cho nhung nguoi chi co mot minh"
"5 Phương Thức Ghi Nhận Nỗ Lực Của Nhân Viên","Kinh doanh - Kinh tế","5 phuong thuc ghi nhan no luc cua nhan vien"
"5 sai lầm thường gặp trong đầu tư","Kinh doanh - Kinh tế","5 sai lam thuong gap trong dau tu"
"5 Điểm Chết Trong Teamwork","Kỹ năng sống - Phát triển bản thân","5 diem chet trong teamwork"
"50 năm chié̂n thá̆ng Điện Biên Phủ và sự nghiệp đỏ̂i mới, phát triẻ̂n đá̂t nước, 1954-2004","Lịch sử","50 nam chien thang dien bien phu va su nghiep doi moi phat trien dat nuoc 1954 2004"
"50 năm phát triển sự nghiệp giáo dục và đào tạo (1945 - 1995)","Lịch sử","50 nam phat trien su nghiep giao duc va dao tao 1945 1995"
"50 năm văn học Việt Nam sau cách mạng tháng 8","Văn học - Thơ - Tản văn","50 nam van hoc viet nam sau cach mang thang 8"
"50 điều trường học không dạy bạn","Kỹ năng sống - Phát triển bản thân","50 dieu truong hoc khong day ban"
"6 Kẻ Nói Dối Và Lá Thư Buộc Tội","Văn học - Tiểu thuyết","6 ke noi doi va la thu buoc toi"
"6 phút tự học tiếng Anh mỗi ngày","Giáo dục - Giáo trình","6 phut tu hoc tieng anh moi ngay"
"60 năm Công an nhân dân Việt Nam, 1945-2005","Lịch sử","60 nam cong an nhan dan viet nam 1945 2005"
"6th Pan-Asiatic International Symposium on Linguistics","Giáo dục - Giáo trình","6th pan asiatic international symposium on linguistics"
"7 Chiến Lược Để Sống Sung Túc Và Hạnh Phúc","Kỹ năng sống - Phát triển bản thân","7 chien luoc de song sung tuc va hanh phuc"
"7 Cách Học Tiếng Anh Du Kích (song ngữ)","Giáo dục - Giáo trình","7 cach hoc tieng anh du kich song ngu"
"7 CẤP ĐỘ TÀI CHÍNH CÁ NHÂN – Bạn Đang Ở Đâu Trên Bậc Thang Tiền Bạc?","Kinh doanh - Kinh tế","7 cap do tai chinh ca nhan ban dang o dau tren bac thang tien bac"
"7 Thói Quen Của Bạn Trẻ Thành Đạt","Kỹ năng sống - Phát triển bản thân","7 thoi quen cua ban tre thanh dat"
"7 loại hình thông minh - nhận biết và phát triển trí năng tiềm ẩn","Tâm lý học","7 loai hinh thong minh nhan biet va phat trien tri nang tiem an"
"7 ngày khởi nghiệp","Kinh doanh - Kinh tế","7 ngay khoi nghiep"
"70 năm tài chính Việt Nam","Kinh doanh - Kinh tế","70 nam tai chinh viet nam"
"75 năm Đảng Cộng sản Việt Nam, 1930-2005","Lịch sử","75 nam dang cong san viet nam 1930 2005"
"8000 Câu Đàm Thoại Tiếng Anh Trong Giao Tiếp Hằng Ngày","Giáo dục - Giáo trình","8000 cau dam thoai tieng anh trong giao tiep hang ngay"
"90 Short funny stories in English for beginners","Giáo dục - Giáo trình","90 short funny stories in english for beginners"
"A Basic English Grammar with Exercises. Mit Schlüssel.","Giáo dục - Giáo trình","a basic english grammar with exercises mit schlussel"
"A Checklist of the Vietnamese Holdings of the Wason Collection, Cornell University Libraries, as of June 1971","Văn học - Thơ - Tản văn","a checklist of the vietnamese holdings of the wason collection cornell university libraries as of june 1971"
"A Child's Book about Angel - Mad Isn't Bad","Thiếu nhi","a child s book about angel mad isn t bad"
"A Naturalist's Voyage Round the World in H.M.S. Beagle","Khoa học tự nhiên","a naturalist s voyage round the world in h m s beagle"
"A Proposed Sweet Potato Marketing Program for New Jersey","Kinh doanh - Kinh tế","a proposed sweet potato marketing program for new jersey"
"A Self-Help Guide for Parents of Children with Autism and Other Learning Difficulties","Tâm lý học","a self help guide for parents of children with autism and other learning difficulties"
"A.I VÀ VĂN MINH TUỆ GIÁC","Công nghệ - Kỹ thuật","a i va van minh tue giac"
"AI 5.0 – Nhanh Hơn, Dễ Hơn, Rẻ Hơn, Chính Xác Hơn","Công nghệ - Kỹ thuật","ai 5 0 nhanh hon de hon re hon chinh xac hon"
"AI – Công Cụ Nâng Cao Hiệu Suất Công Việc","Công nghệ - Kỹ thuật","ai cong cu nang cao hieu suat cong viec"
"AIDS và cộng đồng","Khoa học xã hội","aids va cong dong"
"Accepting the Universe","Văn học - Tiểu thuyết","accepting the universe"
"Access Register","Văn học - Tiểu thuyết","access register"
"Accessions List, Southeast Asia","Khoa học xã hội","accessions list southeast asia"
"Accessions List: Southeast Asia","Khoa học xã hội","accessions list southeast asia"
"Acculturation and the Occupational Choice of Immigrant Vietnamese Men","Khoa học xã hội","acculturation and the occupational choice of immigrant vietnamese men"
"Administrative research","Kinh doanh - Kinh tế","administrative research"
"Advertising and Promotion","Kinh doanh - Kinh tế","advertising and promotion"
"Agricultural Adjustment Act of 1949","Kinh doanh - Kinh tế","agricultural adjustment act of 1949"
"Agricultural Industrialization and Rural Development of Taiwan and Viet Nam","Kinh doanh - Kinh tế","agricultural industrialization and rural development of taiwan and viet nam"
"Ai Bảo Hắn Tu Tiên","Tiên hiệp - Huyền huyễn","ai bao han tu tien"
"Ai Dám Nói Xấu Sư Huynh","Tiên hiệp - Huyền huyễn","ai dam noi xau su huynh"
"Ai Dám Nói Xấu Tiểu Gia?","Tiên hiệp - Huyền huyễn","ai dam noi xau tieu gia"
"Ai Lại Đang Triệu Hoán Ta?","Tiên hiệp - Huyền huyễn","ai lai dang trieu hoan ta"
"Ai yêu Bác Hò̂ Chí Minh hơn thiếu niên nhi đồng","Lịch sử","ai yeu bac ho chi minh hon thieu nien nhi dong"
"Ai Đã Làm Cho Tuổi 20 Của Tôi Cô Đơn Đến Vậy?","Văn học - Tiểu thuyết","ai da lam cho tuoi 20 cua toi co don den vay"
"Aivanhô","Văn học - Tiểu thuyết","aivanho"
"Ali và Nino","Ngôn tình - Lãng mạn","ali va nino"
"Alice in Wonderland","Thiếu nhi","alice in wonderland"
"Alice's Adventures in Wonderland","Thiếu nhi","alice s adventures in wonderland"
"Aligning Marketing With Business Objectives","Kinh doanh - Kinh tế","aligning marketing with business objectives"
"Alisa U Zemlji Cuda","Thiếu nhi","alisa u zemlji cuda"
"Almanach những sự kiện lịch sử Việt Nam","Lịch sử","almanach nhung su kien lich su viet nam"
"America's Sex Culture","Khoa học xã hội","america s sex culture"
"Amts-Blatt der k.k. Bezirkshauptmannschaft Schärding","Văn học - Tiểu thuyết","amts blatt der k k bezirkshauptmannschaft scharding"
"An Giang một chạ̌ng đường hoa","Lịch sử","an giang mot chang duong hoa"
"An Nam Phong Tục Sách","Khoa học xã hội","an nam phong tuc sach"
"An ninh tài chính quó̂c gia","Kinh doanh - Kinh tế","an ninh tai chinh quoc gia"
"Anglo-russkiĭ slovarʹ po nefti","Giáo dục - Giáo trình","anglo russkii slovar po nefti"
"Anh Chàng Mộ Bên","Ngôn tình - Lãng mạn","anh chang mo ben"
"Anh ngữ thực hành","Giáo dục - Giáo trình","anh ngu thuc hanh"
"Anh Đã Trở Về","Văn học - Tiểu thuyết","anh da tro ve"
"Anh Đến Cùng Ánh Sao Trời","Văn học - Tiểu thuyết","anh den cung anh sao troi"
"Anh-ngữ đệ-thá̂t","Giáo dục - Giáo trình","anh ngu de that"
"Annuaire général de l'Indochine. Partie commerciale","Lịch sử","annuaire general de l indochine partie commerciale"
"Annual Report","Kinh doanh - Kinh tế","annual report"
"Arsène Lupin Tái Xuất","Trinh thám - Pháp y","arsene lupin tai xuat"
"Artemis – Cuộc Chiến Trên Mặt Trăng","Văn học - Tiểu thuyết","artemis cuoc chien tren mat trang"
"Asian Culture","Khoa học xã hội","asian culture"
"Atlas Vươn Mình: Atlas Shrugged","Văn học - Tiểu thuyết","atlas vuon minh atlas shrugged"
"Atlat nhận dạng các loài dơi ở vùng Tây Bá̆c Việt Nam","Khoa học tự nhiên","atlat nhan dang cac loai doi o vung tay bac viet nam"
"Attachment-Focused Trauma Treatment for Children and Adolescents","Tâm lý học","attachment focused trauma treatment for children and adolescents"
"Authentic Marketing","Kinh doanh - Kinh tế","authentic marketing"
"Autism and Inclusive Education","Tâm lý học","autism and inclusive education"
"AutoCad và kỹ thuật lập trình ứng dụng","Công nghệ - Kỹ thuật","autocad va ky thuat lap trinh ung dung"
"BASICS OF MARKETING (English)","Kinh doanh - Kinh tế","basics of marketing english"
"BEC – Tiếng Thét Trong Bóng Tối","Kinh dị - Thriller","bec tieng thet trong bong toi"
"Ba Chị Em","Văn học - Tiểu thuyết","ba chi em"
"Ba Làn Sóng Tình Nguyện Viên Và Trái Đất Mới","Văn học - Tiểu thuyết","ba lan song tinh nguyen vien va trai dat moi"
"Ba Lần Và Một Lần","Văn học - Tiểu thuyết","ba lan va mot lan"
"Ba Nghìn Năm Trước Đóa Sen Nở Trong Đêm Thanh Vắng","Văn học - Tiểu thuyết","ba nghin nam truoc doa sen no trong dem thanh vang"
"Ba mươi sau lời khuyên dành cho người khởi nghiệp","Kinh doanh - Kinh tế","ba muoi sau loi khuyen danh cho nguoi khoi nghiep"
"Ba mươi định luật thần kỳ trong cuộc sống","Kỹ năng sống - Phát triển bản thân","ba muoi dinh luat than ky trong cuoc song"
"Ba người lính ngự lâm","Văn học - Tiểu thuyết","ba nguoi linh ngu lam"
"Ba phong cách truyện ngắn trong văn học Việt Nam những năm 1930-1945 : Nguyễn Công Hoan, Thạch Lam, Nam Cao","Văn học - Thơ - Tản văn","ba phong cach truyen ngan trong van hoc viet nam nhung nam 1930 1945 nguyen cong hoan thach lam nam cao"
"Ba Đường Luân Hồi","Văn học - Tiểu thuyết","ba duong luan hoi"
"Baby Hunger","Văn học - Tiểu thuyết","baby hunger"
"Backan Statistical Yearbook","Khoa học xã hội","backan statistical yearbook"
"Bao Người Chờ Đợi","Văn học - Tiểu thuyết","bao nguoi cho doi"
"Beartown – Thị Trấn Nhỏ, Giấc Mơ Lớn","Văn học - Tiểu thuyết","beartown thi tran nho giac mo lon"
"Beiträge zur allgemeinen und vergleichenden Archäologie","Khoa học xã hội","beitrage zur allgemeinen und vergleichenden archaeologie"
"Ben-Hur – Câu Chuyện Về Đấng Christ","Văn học - Tiểu thuyết","ben hur cau chuyen ve dang christ"
